No.;Time;Comment;Scramble;Date;P.1
47;15.30;; (-5,3)/ (-4,5)/ (3,0)/ (0,-3)/ (-2,-2)/ (-3,0)/ (-4,0)/ (-3,0)/ (0,-3)/ (-4,-3)/ (-4,0)/ (-4,0)/ (6,-3);2026-01-01 15:27:11;15.30
48;20.61;; (0,-4)/ (1,-2)/ (3,0)/ (0,-3)/ (0,-3)/ (5,-4)/ (1,-3)/ (3,0)/ (2,-5)/ (2,0)/ (-2,0)/ (4,-1)/ (6,0)/;2026-01-01 15:27:47;20.61
49;13.63;; (-2,0)/ (-4,2)/ (1,1)/ (0,-3)/ (-3,0)/ (2,0)/ (3,0)/ (1,0)/ (-2,-4)/ (0,-2)/ (-4,-3)/ (0,-2)/ (0,-3);2026-01-01 15:28:20;13.63
50;10.17;CSP; (-2,0)/ (0,3)/ (5,2)/ (6,-3)/ (-3,0)/ (3,-5)/ (-3,0)/ (4,-3)/ (2,0)/ (-2,-4)/ (-1,0);2026-01-01 15:28:59;10.17
51;15.26;; (-3,-1)/ (-2,1)/ (0,-3)/ (0,-3)/ (3,0)/ (-3,0)/ (0,-4)/ (0,-3)/ (0,-3)/ (6,-1)/ (-5,0)/ (-1,-4)/ (4,0)/ (4,0);2026-01-01 15:29:31;15.26
52;10.79;; (-2,-3)/ (0,3)/ (-1,-4)/ (3,0)/ (-5,-5)/ (0,-3)/ (5,0)/ (-3,-3)/ (0,-5)/ (0,-2)/ (2,-4)/ (6,0)/;2026-01-01 15:30:02;10.79
53;13.87;; (1,3)/ (-1,-1)/ (-3,0)/ (-3,-3)/ (6,0)/ (0,-5)/ (-3,-3)/ (0,-5)/ (4,0)/ (-4,-4)/ (0,-4)/ (-5,0);2026-01-01 15:30:28;13.87
54;19.52;; (0,5)/ (0,-3)/ (6,0)/ (0,-3)/ (-2,-5)/ (-3,0)/ (3,0)/ (-1,0)/ (3,0)/ (6,-3)/ (-3,0)/ (0,-1)/ (2,0)/ (-1,-2)/;2026-01-01 15:30:57;19.52
55;12.29;; (0,-1)/ (0,-3)/ (0,-3)/ (-2,-2)/ (3,0)/ (3,0)/ (6,0)/ (-1,0)/ (0,-3)/ (-3,0)/ (-3,-5)/ (-2,0)/ (5,-4)/ (0,-4);2026-01-01 15:31:31;12.29
56;15.68;; (0,-1)/ (-2,-5)/ (-3,0)/ (0,-3)/ (-1,-4)/ (6,0)/ (-3,-2)/ (0,-3)/ (-3,0)/ (0,-1)/ (4,-4)/ (4,-3)/;2026-01-01 15:31:56;15.68
57;12.40;; (-5,-3)/ (0,3)/ (-4,2)/ (1,-5)/ (-1,-4)/ (3,-5)/ (-3,0)/ (0,-3)/ (0,-3)/ (2,0)/ (0,-5)/ (-4,0)/ (-4,0);2026-01-01 15:32:25;12.40
58;14.56;; (0,-4)/ (-3,-3)/ (3,0)/ (0,-3)/ (-2,-5)/ (-3,0)/ (2,0)/ (-3,0)/ (0,-3)/ (2,0)/ (1,-4)/ (-5,0);2026-01-01 15:32:49;14.56
59;16.50;; (-2,0)/ (-4,-1)/ (0,3)/ (0,-3)/ (1,-2)/ (3,0)/ (5,0)/ (0,-3)/ (6,0)/ (0,-5)/ (-4,0)/ (6,-4)/ (5,0)/ (-2,-2);2026-01-01 15:33:23;16.50
60;18.46;; (3,-1)/ (-2,-2)/ (3,0)/ (-3,0)/ (5,-1)/ (-3,0)/ (4,0)/ (-3,0)/ (-1,-2)/ (-2,0)/ (3,-4)/ (6,-2)/;2026-01-01 15:33:54;18.46
61;13.30;; (4,0)/ (5,5)/ (0,-3)/ (4,-2)/ (2,-1)/ (0,-3)/ (1,0)/ (3,0)/ (-3,0)/ (-1,-5)/ (3,-2)/ (6,-4)/ (6,0);2026-01-01 15:34:28;13.30
62;12.04;; (-2,3)/ (0,6)/ (-4,-4)/ (-3,0)/ (0,-3)/ (-2,-5)/ (0,-4)/ (-3,0)/ (-1,0)/ (0,-5)/ (-4,-4)/ (3,0)/ (-4,-2);2026-01-01 15:34:54;12.04
63;15.36;; (0,5)/ (-2,1)/ (-3,0)/ (-1,-4)/ (1,-5)/ (-4,0)/ (-3,-3)/ (6,-1)/ (0,-4)/ (2,0);2026-01-01 15:35:18;15.36
64;16.26;; (0,2)/ (1,1)/ (0,3)/ (5,-1)/ (0,-3)/ (-3,0)/ (4,0)/ (-3,0)/ (-1,-2)/ (-4,-3)/ (2,0)/ (2,0)/ (-5,-1);2026-01-01 15:35:48;16.26
65;13.61;; (-5,0)/ (0,-3)/ (0,6)/ (2,-4)/ (-5,-5)/ (-3,0)/ (-4,0)/ (3,0)/ (-3,0)/ (6,-4)/ (4,0)/ (0,-4)/;2026-01-01 15:36:20;13.61
66;13.95;; (0,-4)/ (-2,-5)/ (-3,0)/ (2,-1)/ (-3,0)/ (-3,-2)/ (-3,-3)/ (-4,0)/ (0,-5)/ (0,-5)/ (6,-2)/;2026-01-01 15:36:52;13.95
67;14.25;; (0,-1)/ (4,-2)/ (-1,2)/ (3,0)/ (3,0)/ (-5,-5)/ (0,-4)/ (6,0)/ (3,0)/ (-1,-2)/ (-4,-3)/ (-4,0)/ (4,0);2026-01-01 15:37:18;14.25
68;11.51;; (4,0)/ (0,-3)/ (6,0)/ (-1,-1)/ (0,-3)/ (-3,-5)/ (-3,-3)/ (0,-5)/ (-4,-2)/ (-4,0)/;2026-01-01 15:37:45;11.51
69;16.87;; (-5,0)/ (2,-1)/ (6,-3)/ (0,-3)/ (-2,-5)/ (-3,-4)/ (0,-3)/ (-3,-2)/ (0,-4)/ (2,0)/ (-3,0)/ (2,0)/ (-1,0);2026-01-01 15:38:15;16.87
70;15.31;; (4,0)/ (0,6)/ (3,0)/ (3,0)/ (0,-3)/ (0,-3)/ (3,-1)/ (-3,-3)/ (-5,-2)/ (0,-2)/ (2,0)/ (2,0)/ (-4,0);2026-01-01 15:38:48;15.31
71;12.69;; (0,5)/ (3,0)/ (-2,-5)/ (3,0)/ (5,-4)/ (-2,-5)/ (-4,0)/ (3,0)/ (0,-3)/ (-3,-5)/ (-4,0)/ (-3,-4);2026-01-01 15:39:19;12.69
72;12.38;; (4,0)/ (-1,5)/ (1,-2)/ (-1,-4)/ (4,-5)/ (-1,0)/ (3,0)/ (-3,-4)/ (-3,-4)/ (6,-5);2026-01-01 15:39:43;12.38
73;16.43;; (4,-3)/ (0,-3)/ (-4,5)/ (4,-2)/ (3,0)/ (5,0)/ (3,0)/ (1,-4)/ (-2,-4)/ (-4,0)/ (0,-2)/ (4,0);2026-01-01 15:40:10;16.43
74;15.49;; (0,-4)/ (3,-3)/ (4,-5)/ (3,-3)/ (0,-1)/ (0,-3)/ (6,0)/ (1,-4)/ (2,0)/ (3,-2)/ (2,0)/ (3,-4)/ (-5,0);2026-01-01 15:40:44;15.49
75;12.79;; (-2,0)/ (0,3)/ (3,0)/ (-3,0)/ (3,0)/ (2,-1)/ (4,-3)/ (-3,0)/ (-1,-2)/ (4,0)/ (0,-3)/ (-2,-3)/;2026-01-01 15:41:14;12.79
76;16.47;; (-2,-3)/ (5,2)/ (4,-5)/ (5,-4)/ (3,0)/ (3,-5)/ (-3,-3)/ (0,-5)/ (0,-2)/ (2,-4)/ (-4,0)/ (-4,0);2026-01-01 15:41:45;16.47
77;11.88;; (0,2)/ (-3,0)/ (1,4)/ (2,-1)/ (-3,-3)/ (6,0)/ (-2,0)/ (-3,0)/ (-1,-2)/ (2,-3)/ (-2,0)/ (4,0)/ (2,-5);2026-01-01 15:42:20;11.88
78;16.89;; (3,-1)/ (-2,-2)/ (3,0)/ (-1,-1)/ (-3,0)/ (-3,0)/ (0,-2)/ (6,0)/ (0,-3)/ (6,-5)/ (0,-1)/ (0,-2)/ (2,-5);2026-01-01 15:42:44;16.89
